employee_id,age,gender,tenure_months,burnout_risk,tasks_completed_last_30d,tasks_failed_last_30d,sick_leave_count_last_30d,short_sick_leaves_count_last_30d,total_sick_days_last_30d,avg_sentiment_last_30d,tasks_completed_last_90d,tasks_failed_last_90d,sick_leave_count_last_90d,short_sick_leaves_count_last_90d,total_sick_days_last_90d,avg_sentiment_last_90d,tasks_completed_last_365d,tasks_failed_last_365d,sick_leave_count_last_365d,short_sick_leaves_count_last_365d,total_sick_days_last_365d,avg_sentiment_last_365d,days_since_last_vacation,sentiment_trend_last_90d
1000,37,Женский,107,0,8,0,0.0,0.0,0.0,0.215,27,0,0.0,0.0,0.0,0.3323076923076923,140,0,1.0,1.0,2.0,0.4486538461538462,365.0,0.0
1001,44,Мужской,20,0,13,0,0.0,0.0,0.0,0.3,35,0,0.0,0.0,0.0,0.40461538461538454,133,0,1.0,0.0,4.0,0.38576923076923075,321.0,0.0
1002,48,Мужской,17,0,14,0,0.0,0.0,0.0,0.33999999999999997,33,0,0.0,0.0,0.0,0.4307692307692309,136,0,2.0,1.0,6.0,0.39230769230769236,123.0,0.0
1003,25,Мужской,46,1,10,0,0.0,0.0,0.0,-0.485,28,0,1.0,1.0,1.0,-0.4492307692307692,79,0,4.0,2.0,11.0,-0.30000000000000004,87.0,0.0
1004,29,Женский,13,0,15,0,0.0,0.0,0.0,0.20500000000000002,38,0,1.0,1.0,1.0,0.3776923076923077,147,0,1.0,1.0,1.0,0.4015384615384615,84.0,0.0
1005,54,Женский,51,1,10,0,0.0,0.0,0.0,-0.485,24,0,0.0,0.0,0.0,-0.4492307692307692,88,0,0.0,0.0,0.0,-0.30000000000000004,365.0,0.0
1006,33,Женский,74,0,10,0,0.0,0.0,0.0,0.53,31,0,1.0,0.0,5.0,0.4423076923076923,122,0,4.0,1.0,14.0,0.37500000000000006,365.0,0.0
1007,39,Мужской,111,1,9,0,0.0,0.0,0.0,-0.485,25,0,1.0,0.0,4.0,-0.4492307692307692,84,0,5.0,3.0,14.0,-0.30000000000000004,365.0,0.0
1008,36,Мужской,9,0,8,0,0.0,0.0,0.0,0.3875,33,0,0.0,0.0,0.0,0.3969230769230769,125,0,0.0,0.0,0.0,0.3713461538461538,365.0,0.0
1009,34,Мужской,53,1,6,0,0.0,0.0,0.0,-0.485,17,0,0.0,0.0,0.0,-0.4492307692307692,77,0,2.0,1.0,4.0,-0.30000000000000004,365.0,0.0
