employee_id,age,gender,tenure_months,burnout_risk,tasks_completed_last_30d,tasks_failed_last_30d,sick_leave_count_last_30d,short_sick_leaves_count_last_30d,total_sick_days_last_30d,avg_sentiment_last_30d,tasks_completed_last_90d,tasks_failed_last_90d,sick_leave_count_last_90d,short_sick_leaves_count_last_90d,total_sick_days_last_90d,avg_sentiment_last_90d,tasks_completed_last_365d,tasks_failed_last_365d,sick_leave_count_last_365d,short_sick_leaves_count_last_365d,total_sick_days_last_365d,avg_sentiment_last_365d,days_since_last_vacation,sentiment_trend_last_90d
1000,37,Женский,107,0,8,0,0.0,0.0,0.0,0.215,27,0,0.0,0.0,0.0,0.3323076923076923,140,0,1.0,1.0,2.0,0.4486538461538462,365.0,0.0
1001,44,Мужской,20,0,13,0,0.0,0.0,0.0,0.3,35,0,0.0,0.0,0.0,0.4046153846153845,133,0,1.0,0.0,4.0,0.3857692307692307,321.0,0.0
1002,48,Мужской,17,0,14,0,0.0,0.0,0.0,0.3399999999999999,33,0,0.0,0.0,0.0,0.4307692307692309,136,0,2.0,1.0,6.0,0.3923076923076923,123.0,0.0
1003,25,Мужской,46,1,10,0,0.0,0.0,0.0,-0.485,28,0,1.0,1.0,1.0,-0.4492307692307692,79,0,4.0,2.0,11.0,-0.3,87.0,0.0
1004,29,Женский,13,0,15,0,0.0,0.0,0.0,0.205,38,0,1.0,1.0,1.0,0.3776923076923077,147,0,1.0,1.0,1.0,0.4015384615384615,84.0,0.0
1005,54,Женский,51,1,10,0,0.0,0.0,0.0,-0.485,24,0,0.0,0.0,0.0,-0.4492307692307692,88,0,0.0,0.0,0.0,-0.3,365.0,0.0
1006,33,Женский,74,0,10,0,0.0,0.0,0.0,0.53,31,0,1.0,0.0,5.0,0.4423076923076923,122,0,4.0,1.0,14.0,0.375,365.0,0.0
1007,39,Мужской,111,1,9,0,0.0,0.0,0.0,-0.485,25,0,1.0,0.0,4.0,-0.4492307692307692,84,0,5.0,3.0,14.0,-0.3,365.0,0.0
1008,36,Мужской,9,0,8,0,0.0,0.0,0.0,0.3875,33,0,0.0,0.0,0.0,0.3969230769230769,125,0,0.0,0.0,0.0,0.3713461538461538,365.0,0.0
1009,34,Мужской,53,1,6,0,0.0,0.0,0.0,-0.485,17,0,0.0,0.0,0.0,-0.4492307692307692,77,0,2.0,1.0,4.0,-0.3,365.0,0.0
1010,46,Мужской,2,0,9,0,0.0,0.0,0.0,0.94,35,0,0.0,0.0,0.0,0.8107692307692308,138,0,3.0,0.0,12.0,0.25,343.0,0.0
1011,33,Мужской,1,0,10,0,0.0,0.0,0.0,0.94,28,0,1.0,0.0,3.0,0.8107692307692308,136,0,4.0,3.0,7.0,0.25,365.0,0.0
1012,52,Женский,9,0,8,0,0.0,0.0,0.0,0.94,31,0,0.0,0.0,0.0,0.8107692307692308,123,0,1.0,0.0,5.0,0.25,365.0,0.0
1013,33,Женский,105,0,5,0,0.0,0.0,0.0,0.4075,29,0,1.0,0.0,5.0,0.4423076923076923,133,0,1.0,0.0,5.0,0.4138461538461539,319.0,0.0
1014,51,Мужской,16,0,8,0,0.0,0.0,0.0,0.5125000000000001,29,0,0.0,0.0,0.0,0.4976923076923077,139,0,0.0,0.0,0.0,0.4528846153846154,72.0,0.0
1015,25,Женский,61,0,7,0,0.0,0.0,0.0,0.3924999999999999,21,0,0.0,0.0,0.0,0.3438461538461538,124,0,1.0,0.0,3.0,0.3846153846153846,115.0,0.0
1016,38,Женский,12,0,11,0,0.0,0.0,0.0,0.2975,29,0,1.0,0.0,4.0,0.3869230769230769,122,0,3.0,1.0,10.0,0.3673076923076923,316.0,0.0
1017,54,Мужской,94,1,4,0,0.0,0.0,0.0,-0.485,13,0,0.0,0.0,0.0,-0.4492307692307692,78,0,5.0,3.0,13.0,-0.3,316.0,0.0
1018,40,Женский,21,0,3,0,0.0,0.0,0.0,0.3,20,0,0.0,0.0,0.0,0.3046153846153845,120,0,1.0,0.0,4.0,0.4042307692307693,365.0,0.0
1019,30,Мужской,50,1,7,0,1.0,0.0,4.0,-0.485,17,0,1.0,0.0,4.0,-0.4492307692307692,78,0,3.0,1.0,9.0,-0.3,365.0,0.0
1020,33,Мужской,59,0,10,0,1.0,0.0,5.0,0.415,25,0,1.0,0.0,5.0,0.4223076923076923,138,0,3.0,2.0,8.0,0.3880769230769232,125.0,0.0
1021,39,Мужской,99,1,21,6,1.0,1.0,1.0,-0.94,51,15,1.0,1.0,1.0,-0.8107692307692308,204,30,1.0,1.0,1.0,-0.25,365.0,0.0
1022,38,Женский,20,1,5,0,0.0,0.0,0.0,-0.485,15,0,0.0,0.0,0.0,-0.4492307692307692,71,0,1.0,0.0,5.0,-0.3,322.0,0.0
1023,40,Мужской,12,0,11,0,0.0,0.0,0.0,0.94,37,0,0.0,0.0,0.0,0.8107692307692308,123,0,2.0,1.0,5.0,0.25,72.0,0.0
1024,48,Женский,91,0,10,0,0.0,0.0,0.0,0.33,27,0,0.0,0.0,0.0,0.3653846153846153,124,0,0.0,0.0,0.0,0.4142307692307693,129.0,0.0
1025,28,Женский,2,0,11,0,1.0,0.0,4.0,0.94,38,0,1.0,0.0,4.0,0.8107692307692308,146,0,4.0,1.0,15.0,0.25,83.0,0.0
1026,36,Женский,8,0,12,0,0.0,0.0,0.0,0.94,34,0,0.0,0.0,0.0,0.8107692307692308,132,0,2.0,1.0,4.0,0.25,316.0,0.0
1027,28,Женский,41,0,12,0,0.0,0.0,0.0,0.4649999999999999,33,0,1.0,0.0,5.0,0.4192307692307692,128,0,5.0,3.0,16.0,0.3832692307692307,365.0,0.0
1028,32,Женский,7,0,12,0,2.0,0.0,7.0,0.94,40,0,2.0,0.0,7.0,0.8107692307692308,149,0,3.0,1.0,8.0,0.25,126.0,0.0
1029,46,Женский,32,1,17,3,0.0,0.0,0.0,-0.94,48,10,0.0,0.0,0.0,-0.8107692307692308,206,33,1.0,0.0,3.0,-0.25,365.0,0.0
1030,49,Женский,99,0,14,0,0.0,0.0,0.0,0.12,35,0,0.0,0.0,0.0,0.2961538461538461,134,0,1.0,0.0,3.0,0.3648076923076923,335.0,0.0
1031,37,Женский,7,0,12,0,1.0,1.0,1.0,0.94,28,0,1.0,1.0,1.0,0.8107692307692308,121,0,2.0,2.0,3.0,0.25,365.0,0.0
1032,44,Мужской,94,0,9,0,1.0,1.0,1.0,0.395,30,0,1.0,1.0,1.0,0.3630769230769231,126,0,2.0,2.0,3.0,0.3949999999999999,365.0,0.0
1033,51,Мужской,46,0,12,0,0.0,0.0,0.0,0.4524999999999999,31,0,0.0,0.0,0.0,0.4707692307692308,137,0,0.0,0.0,0.0,0.4396153846153846,129.0,0.0
1034,30,Женский,103,0,12,0,0.0,0.0,0.0,0.36,36,0,0.0,0.0,0.0,0.4038461538461538,125,0,2.0,0.0,6.0,0.365576923076923,130.0,0.0
1035,32,Мужской,9,0,13,0,0.0,0.0,0.0,0.94,32,0,0.0,0.0,0.0,0.8107692307692308,135,0,1.0,0.0,3.0,0.25,365.0,0.0
1036,39,Мужской,20,0,14,0,0.0,0.0,0.0,0.3774999999999999,36,0,0.0,0.0,0.0,0.3838461538461538,125,0,4.0,2.0,11.0,0.3753846153846153,120.0,0.0
1037,37,Мужской,110,1,19,6,0.0,0.0,0.0,-0.94,55,16,0.0,0.0,0.0,-0.8107692307692308,214,35,1.0,0.0,3.0,-0.25,365.0,0.0
1038,41,Мужской,99,1,21,4,0.0,0.0,0.0,-0.94,59,12,0.0,0.0,0.0,-0.8107692307692308,226,25,0.0,0.0,0.0,-0.25,365.0,0.0
1039,48,Женский,111,0,12,0,0.0,0.0,0.0,0.2375,33,0,0.0,0.0,0.0,0.3592307692307691,123,0,1.0,1.0,1.0,0.3975,85.0,0.0
1040,50,Женский,62,1,18,6,1.0,1.0,1.0,-0.94,50,21,1.0,1.0,1.0,-0.8107692307692308,217,37,1.0,1.0,1.0,-0.25,365.0,0.0
1041,23,Женский,113,0,13,0,0.0,0.0,0.0,0.6475,37,0,1.0,1.0,2.0,0.47,130,0,1.0,1.0,2.0,0.4063461538461538,365.0,0.0
1042,36,Женский,23,0,13,0,0.0,0.0,0.0,0.4975,38,0,1.0,1.0,1.0,0.4415384615384615,134,0,6.0,3.0,15.0,0.41,365.0,0.0
1043,30,Мужской,64,0,10,0,0.0,0.0,0.0,0.3924999999999999,34,0,0.0,0.0,0.0,0.4407692307692308,145,0,6.0,3.0,17.0,0.3986538461538462,101.0,0.0
1044,51,Мужской,4,1,6,0,0.0,0.0,0.0,-0.485,22,0,1.0,1.0,1.0,-0.4492307692307692,76,0,4.0,2.0,11.0,-0.3,334.0,0.0
1045,42,Женский,4,0,13,0,0.0,0.0,0.0,0.94,31,0,0.0,0.0,0.0,0.8107692307692308,126,0,3.0,0.0,12.0,0.25,365.0,0.0
